eid,class,part,deck,volume_m3
B-L09-2a,bearing,P08,L,0.0074
S-L09-3a,seat,P08,L,0.0540
B-L09-3a,bearing,P08,L,0.0074
S-L09-4a,seat,P08,L,0.0540
B-L09-4a,bearing,P08,L,0.0074
S-L09-5a,seat,P08,L,0.0540
B-L09-5a,bearing,P08,L,0.0074
C-P08-L1,column,P08,L,18.5371
PL-P08-L1,pile,P08,L,63.5544
C-P08-L2,column,P08,L,18.3834
PL-P08-L2,pile,P08,L,63.5544
TB-P08-L,tie,P08,L,5.1600
CAP-P08-R,cap,P08,R,46.8480
S-R08-1b,seat,P08,R,0.0554
B-R08-1b,bearing,P08,R,0.0074
S-R08-2b,seat,P08,R,0.0554
B-R08-2b,bearing,P08,R,0.0074
S-R08-3b,seat,P08,R,0.0554
B-R08-3b,bearing,P08,R,0.0074
S-R08-4b,seat,P08,R,0.0554
B-R08-4b,bearing,P08,R,0.0074
S-R08-5b,seat,P08,R,0.0554
B-R08-5b,bearing,P08,R,0.0074
S-R09-1a,seat,P08,R,0.0540
B-R09-1a,bearing,P08,R,0.0074
S-R09-2a,seat,P08,R,0.0540
B-R09-2a,bearing,P08,R,0.0074
S-R09-3a,seat,P08,R,0.0540
B-R09-3a,bearing,P08,R,0.0074
S-R09-4a,seat,P08,R,0.0540
B-R09-4a,bearing,P08,R,0.0074
S-R09-5a,seat,P08,R,0.0540
B-R09-5a,bearing,P08,R,0.0074
C-P08-R1,column,P08,R,18.9083
PL-P08-R1,pile,P08,R,63.5544
C-P08-R2,column,P08,R,18.7546
PL-P08-R2,pile,P08,R,63.5544
TB-P08-R,tie,P08,R,5.1600
CAP-P09-L,cap,P09,L,46.8480
TS-L09-1b,temp_support,P09,L,0.0408
TS-L09-2b,temp_support,P09,L,0.0409
TS-L09-3b,temp_support,P09,L,0.0408
TS-L09-4b,temp_support,P09,L,0.0409
TS-L09-5b,temp_support,P09,L,0.0408
TS-L10-1a,temp_support,P09,L,0.0387
TS-L10-2a,temp_support,P09,L,0.0388
TS-L10-3a,temp_support,P09,L,0.0387
TS-L10-4a,temp_support,P09,L,0.0389
TS-L10-5a,temp_support,P09,L,0.0390
S-P09-L1,seat,P09,L,0.0960
B-P09-L1,bearing,P09,L,0.0235
S-P09-L2,seat,P09,L,0.0961
B-P09-L2,bearing,P09,L,0.0235
S-P09-L3,seat,P09,L,0.0961
B-P09-L3,bearing,P09,L,0.0235
S-P09-L4,seat,P09,L,0.0962
B-P09-L4,bearing,P09,L,0.0235
S-P09-L5,seat,P09,L,0.0962
B-P09-L5,bearing,P09,L,0.0235
C-P09-L1,column,P09,L,13.7244
PL-P09-L1,pile,P09,L,63.5544
C-P09-L2,column,P09,L,13.5707
PL-P09-L2,pile,P09,L,63.5544
TB-P09-L,tie,P09,L,5.1600
CAP-P09-R,cap,P09,R,46.8480
TS-R09-1b,temp_support,P09,R,0.0409
TS-R09-2b,temp_support,P09,R,0.0408
TS-R09-3b,temp_support,P09,R,0.0409
TS-R09-4b,temp_support,P09,R,0.0408
TS-R09-5b,temp_support,P09,R,0.0409
TS-R10-1a,temp_support,P09,R,0.0387
TS-R10-2a,temp_support,P09,R,0.0387
TS-R10-3a,temp_support,P09,R,0.0389
TS-R10-4a,temp_support,P09,R,0.0391
